Family,Genus,species,sub.species,binomial,other.genera,other.species,other.names.sub.species,Source.of.taxonomy information,notes.on.taxonomy,Sexual.System,Karyotype,notes..Karyotype,Predicted.ploidy,female2N,male2N,notesMale2N,notes..comments,cite.key,,,,,,
Nymphalidae,Taygetis,ypthima,,Taygetis ypthima,,,,GBIF,Accepted,,,,,,62,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Taygetis,ypthima,,Taygetis ypthima,,,,GBIF,Accepted,,,,,,62,,,"De Lesse, H., 1967. Les nombres de chromosomes chez les Lépidoptères Rhopalocères néotropicaux.Ann. Soc. Ent. Fr.(NS),3, pp.67-136.",,,,,,
Nymphalidae,Telenassa,teletusa,,Telenassa teletusa,,,,GBIF,Accepted,,,,,,62,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Telenassa,teletusa,,Telenassa teletusa,,,,GBIF,Accepted,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae.†Hereditas,†144(4), pp.137-148.",,,,,,
Nymphalidae,Tellervo,zoilus,,Tellervo zoilus,,,,GBIF,Accepted,,,,,,64,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Temenis,huebneri,,Temenis huebneri,,,,,,,,,,,14,,,"Brown, K.S., Freitas, A.V.L., Wahlberg, N., Schoultz, Von, B., Saura, A.O. & Saura, A. (2007). Chromosomal evolution in the South American Nymphalidae. Hereditas 144: 137–148.",,,,,,
Nymphalidae,Temenis,laothoe,,Temenis laothoe,,,,GBIF,Accepted,,,,,,,"22,24,26,28",,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae.†Hereditas,†144(4), pp.137-148.",,,,,,
Nymphalidae,Temenis,laothoe,,Temenis laothoe,,,,GBIF,Accepted,,,,,,26,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Temenis,pulchra,,Temenis pulchra,,,,GBIF,Accepted,,,,,,54,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae.†Hereditas,†144(4), pp.137-148.",,,,,,
Nymphalidae,Temenis,sp.,,Temenis sp.,,,,Lepindex,Accepted,,,,,,14,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae.†Hereditas,†144(4), pp.137-148.",,,,,,
Nymphalidae,Thaler,opis,jonia,Thaler opis jonia,,,,,,,,,,,62,,,"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.",,,,,,
Nymphalidae,Thaleropis,jonia,,Thaleropis jonia,,,,,,gonochorous,,,,,62,,,"Lesse, D.H., 1960. Speciation et Variation cromosomiques chez les Lepidopteris Rhopaloceres. Annls Soc. nat. Zool., 12(2), pp.1-223.",,,,,,
Nymphalidae,Thyridia,psidii,,Thyridia psidii,,,,GBIF,Accepted,,,,,,34,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Thyridia,themisto,,Thyridia themisto,,,,,,,,,,,28,,,"Lesse, H.D. and Brown, K., 1971. Formules chromosomiques de Lépidoptères Rhopalocères du Brésil. Bulletin de la Société entomologique de France, 76(5), pp.131-137.",,,,,,
Nymphalidae,Tigridia,acesta,latifascia,Tigridia acesta latifascia,,,,GBIF,Accepted,,,,,,60,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae.†Hereditas,†144(4), pp.137-148.",,,,,,
Nymphalidae,Tigridia,acesta,latifasciata,Tigridia acesta latifasciata,,,,GBIF,Accepted,,,,,,60,,,"Lesse, H.D. and Brown, K., 1971. Formules chromosomiques de Lépidoptères Rhopalocères du Brésil. Bulletin de la Société entomologique de France, 76(5), pp.131-137.",,,,,,
Nymphalidae,Tigridia,acesta,,Tigridia acesta,,,,GBIF,Accepted,,,,,,60,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Timelaea,maculata,,Timelaea maculata,,,,GBIF,Accepted,,,,,,60,,,"Maeki, K. & ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera  3. Nymphalidae and Libytheidae. Kontyu 37: 91–98.",,,,,,
Nymphalidae,Tirumala,limniace,,Tirumala limniace,,,,Lepindex,Accepted,,,,,,66,,,"Saitoh, K. & Abe, A. (1970). On the chromosomes of five species of Danaidae from Nepal Himalaya (Lepidoptera; Rhopalocera). Special Bulletin of the Lepidopteran Society of Japan 25: 153–158.",,,,,,
Nymphalidae,Tirumata,limniace,,Tirumata limniace,,,,Lepindex,Accepted,,,,,,74,,,"Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109.",,,,,,
Nymphalidae,Tithorea,harmonia,megara,Tithorea harmonia megara,,,,GBIF,Accepted,,,,,,28,,,"Wesley, D.J. and Emmel, T.C., 1975. The chromosomes of Neotropical butterflies from Trinidad and Tobago.Biotropica, pp.24-31.",,,,,,
Nymphalidae,Tithorea,harmonia,,Tithorea harmonia,,,,GBIF,Accepted,,,,,,28,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Tithorea,tarricina,,Tithorea tarricina,,,,GBIF,Accepted,,,,,,22,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Vanessa,cardui,,Vanessa cardui,,,,GBIF,Accepted,gonochorous,,,,,62,,,Maeki 1961,,,,,,
Nymphalidae,Vanessa,cardui,,Vanessa cardui,Pyrameis,cardui,,GBIF,Synonym,gonochorous,,,,,62,,,"Lorkovi?, Z., 1941. Die chromosomenzahlen in der spermatogenese der tagfalter. Zeitschrift für Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma, 2(1), pp.155-191.",,,,,,
Nymphalidae,Vanessa,carye,,Vanessa carye,,,,GBIF,Accepted,,,,,,62,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Vanessa,carye,,Vanessa carye,,,,GBIF,Accepted,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae.†Hereditas,†144(4), pp.137-148.",,,,,,
Nymphalidae,Vanessa,cashmirensis,aesis,Vanessa cashmirensis aesis,,,,GBIF,Accepted,,,,,,62,,,"Kaur, T. (1988). Chromosome numbers of thirty-one species of Indian Lepidoptera. Genetica 76: 191–193.",,,,,,
Nymphalidae,Vanessa,indica,,Vanessa indica,,,,GBIF,Accepted,gonochorous,,,,,30,,,"Gupta, Y., 1964. Chromosomal studies in some Indian Lepidoptera. Chromosoma, 15(5), pp.540-561.",,,,,,
Nymphalidae,Vanessa,indica,,Vanessa indica,,,,GBIF,Accepted,,,,,,62,,,"Maeki, K., 1953. Chromosome numbers of some butterflies. The Japanese Journal of Genetics, 28(1), pp.6-7.",,,,,,
Nymphalidae,Vanessa,indica,,Vanessa indica,Pyrameis,atalanta,,GBIF,Synonym,,,,,,62,,,"Federley, H., 1938. CHROMOSOMENZAHLEN FINNLÄN?DISCHER LEPIDOPTEREN: I. RHOPALOCERA. Hereditas, 24(4), pp.397-464.",,,,,,
Nymphalidae,Vanessa,virginiensis,,Vanessa virginiensis,,,,GBIF,Accepted,,,,,,62,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Vanessa,virginiensis,,Vanessa virginiensis,,,,GBIF,Accepted,,,,,,62,,,"Maeki, K. and Remington, C. L., 1960. Studies of the chromosomes of north American Rhopalocera. 4. Nymphalidae, Charaxidinae and Libyrheinae.J. Lepid. Soc.,14, pp.179-201.",,,,,,
Nymphalidae,Vanessa,xanthomelas,,Vanessa xanthomelas,,,,GBIF,Accepted,gonochorous,,,,,62,,,"Lorkovi?, Z., 1941. Die chromosomenzahlen in der spermatogenese der tagfalter. Zeitschrift für Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma, 2(1), pp.155-191.",,,,,,
Nymphalidae,Velamysta,peninna,,Velamysta peninna,,,,GBIF,Accepted,,,,,,76,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Velamysta,phengites,,Velamysta phengites,,,,GBIF,Accepted,,,,,,24,,,"Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.",,,,,,
Nymphalidae,Velamysta,pupilla,,Velamysta pupilla,,,,GBIF,Accepted,,,,,,44,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Vila,azeka,,Vila azeka,,,,GBIF,Accepted,,,,,,30,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Vila,sp.,,Vila sp.,,,,Lepindex,Accepted,,,,,,30,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae.†Hereditas,†144(4), pp.137-148.",,,,,,
Nymphalidae,Vindula,arsinoe,ada,Vindula arsinoe ada,,,,GBIF,Accepted,,,,,,64,,,"Maeki, K. & Ogata, M. (1971). A chromosomal study of eighteen species of butterflies from Australia (Lepidoptera, Rhopalocera). Kontyu 39: 7–14.",,,,,,
Nymphalidae,Yoma,sabina,vasuki,Yoma sabina vasuki,,,,GBIF,Accepted,,,,,,62,,,"Maeki, K. & ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera  3. Nymphalidae and Libytheidae. Kontyu 37: 91–98.",,,,,,
Nymphalidae,Yphthima,argus,,Yphthima argus,,,,GBIF,Accepted,gonochorous,,,,,58,,,"Maeki, K., 1953. A chromosome study of Japanese butterflies (Lepidoptera Rhopalocera). A. Studies Kwansei Gakuin Univ., 1, pp.67-70.",,,,,,
Nymphalidae,Yphthima,doleta,,Yphthima doleta,,,,GBIF,Accepted,gonochorous,,,,,48,,,Lesse and Condamin 1962,,,,,,
Nymphalidae,Yphthima,motschulskyi,,Yphthima motschulskyi,,,,GBIF,Accepted,gonochorous,,,,,54,,,"Maeki, K. and Remington, C. L., 1960. Studies of the chromosomes of North American Rhopalocera. 3 Lycaenidae, Danainae, Satyrinae, Morphinae.J. Lepid. Soc.,14, pp.127-147.",,,,,,
Nymphalidae,Yphthimoides,borasta,,Yphthimoides borasta,,,,GBIF,Accepted,,,,,,54,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Yphthimoides,celmis,,Yphthimoides celmis,,,,GBIF,Accepted,,,,,,54,,,"De Lesse, H., 1967. Les nombres de chromosomes chez les Lépidoptères Rhopalocères néotropicaux.Ann. Soc. Ent. Fr.(NS),3, pp.67-136.",,,,,,
Nymphalidae,Yphthimoides,celmis,,Yphthimoides celmis,,,,GBIF,Accepted,,,,,,24,,,"Brown, K.S., Freitas, A.V., Von Schoultz, B., Saura, A.O. and Saura, A., 2007. Chromosomal evolution of South American frugivorous butterflies in the Satyroid clade (Nymphalidae: Charaxinae, Morphinae and Satyrinae).Biological Journal of the Linnean Society,92(3), pp.467-481.",,,,,,
Nymphalidae,Yphthimoides,renata,,Yphthimoides renata,,,,GBIF,Accepted,,,,,,54,,,"Brown, K.S., Freitas, A.V., Von Schoultz, B., Saura, A.O. and Saura, A., 2007. Chromosomal evolution of South American frugivorous butterflies in the Satyroid clade (Nymphalidae: Charaxinae, Morphinae and Satyrinae).Biological Journal of the Linnean Society,92(3), pp.467-481.",,,,,,
Nymphalidae,Yphthimoides,sp.,,Yphthimoides sp.,,,,Lepindex,Accepted,,,,,,58,,,"Brown, K.S., Freitas, A.V., Von Schoultz, B., Saura, A.O. and Saura, A., 2007. Chromosomal evolution of South American frugivorous butterflies in the Satyroid clade (Nymphalidae: Charaxinae, Morphinae and Satyrinae).Biological Journal of the Linnean Society,92(3), pp.467-481.",,,,,,
Nymphalidae,Yphthimoides,sp.,,Yphthimoides sp.,,,,Lepindex,Accepted,,,,,,28,,,"Brown, K.S., Freitas, A.V., Von Schoultz, B., Saura, A.O. and Saura, A., 2007. Chromosomal evolution of South American frugivorous butterflies in the Satyroid clade (Nymphalidae: Charaxinae, Morphinae and Satyrinae).Biological Journal of the Linnean Society,92(3), pp.467-481.",,,,,,
Nymphalidae,Ypthima,argus,,Ypthima argus,Yythima,argus,,Lepindex,"Misspelled in Maeki 1953 as ""Yythima argus"".",,,,,,58,,,"Maeki, K., 1953. Chromosome numbers of some butterflies. The Japanese Journal of Genetics, 28(1), pp.6-7.",,,,,,
Nymphalidae,Yramea,cytheris,,Yramea cytheris,,,,GBIF,Accepted,,,,,,62,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Yramea,cytheris,,Yramea cytheris,,,,GBIF,Accepted,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae.†Hereditas,†144(4), pp.137-148.",,,,,,
Nymphalidae,Yramea,lathonioides,,Yramea lathonioides,,,,GBIF,Accepted,,,,,,62,,,"S. Brown, Jr, K., Victor Lucci Freitas, A., Wahlberg, N., Von Schoultz, B., O. Saura, A. and Saura, A., 2007. Chromosomal evolution in the South American Nymphalidae.†Hereditas,†144(4), pp.137-148.",,,,,,
Nymphalidae,Yramea,lathonoides,,Yramea lathonoides,,,,GBIF,Accepted,,,,,,62,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Zaretis,itys,ssp.,Zaretis itys ssp.,,,,GBIF,Accepted,,,,,,42,,,"Brown, K.S., Freitas, A.V., Von Schoultz, B., Saura, A.O. and Saura, A., 2007. Chromosomal evolution of South American frugivorous butterflies in the Satyroid clade (Nymphalidae: Charaxinae, Morphinae and Satyrinae).Biological Journal of the Linnean Society,92(3), pp.467-481.",,,,,,
Nymphalidae,Zaretis,itys,,Zaretis itys,Zaretis,isidora,,GBIF,Synonym,,,,,,,"42,58",,"Brown, K.S., Freitas, A.V., Von Schoultz, B., Saura, A.O. and Saura, A., 2007. Chromosomal evolution of South American frugivorous butterflies in the Satyroid clade (Nymphalidae: Charaxinae, Morphinae and Satyrinae).Biological Journal of the Linnean Society,92(3), pp.467-481.",,,,,,
Nymphalidae,Zaretis,itys,,Zaretis itys,,,,GBIF,Accepted,,,,,,42,,,"Ahola, V., Lehtonen, R., Somervuo, P., Salmela, L., Koskinen, P., Rastas, P., Välimäki, N., Paulin, L., Kvist, J., Wahlberg, N. and Tanskanen, J., 2014. The Glanville fritillary genome retains an ancient karyotype and reveals selective chromosomal fusions in Lepidoptera. Nature communications, 5(1), pp.1-9.",,,,,,
Nymphalidae,Zaretis,itys,,Zaretis itys,,,,GBIF,Accepted,,,,,,42,,,"Brown, K.S., Freitas, A.V., Von Schoultz, B., Saura, A.O. and Saura, A., 2007. Chromosomal evolution of South American frugivorous butterflies in the Satyroid clade (Nymphalidae: Charaxinae, Morphinae and Satyrinae).Biological Journal of the Linnean Society,92(3), pp.467-481.",,,,,,
Oecophoridae,Agonopterix,nervosa,,Agonopterix nervosa,Depressaria,nervosa,,GBIF,Synonym,gonochorous,,,,,60,,,"Regnart, H.C., 1933. Additions to our knowledge of chromosome numbers in the Lepidoptera. In Proc. Univ. Durham Phil. Soc (Vol. 9, pp. 79-83).",,,,,,
Oecophoridae,Depressaria,grotella,,Depressaria grotella,,,,,,,,,,,58,,,"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.",,,,,,
Oecophoridae,Psilocorsis,quercicella,,Psilocorsis quercicella,,,,GBIF,Accepted,,,,,,54,,,"Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.",,,,,,
Oecophoridae,Tonica,niviferana,,Tonica niviferana,,,,GBIF,Accepted,,,,,,60,,,"Kaur, T. (1988). Chromosome numbers of thirty-one species of Indian Lepidoptera. Genetica 76: 191–193.",,,,,,
Papilionidae,Battus,philenor,,Battus philenor,,,,GBIF,Accepted,gonochorous,,,,,60,,,Maeki and Ramington 1959,,,,,,
Papilionidae,Byasa,alcinous,,Byasa alcinous,,,,GBIF,Accepted,gonochorous,,,,,60,,,Maeki 1957b,,,,,,
Papilionidae,Byasa,febanus,,Byasa febanus,,,,,,,,,,,60,,,"Maeki, K. & Ae, S.A. (1968). Studies of the chromosomes of Formosan Rhopalocera 1. Papilionidae and Hesperiidae. Kontyu 36: 116–123.",,,,,,
Papilionidae,Byasa,latreillei,,Byasa latreillei,,,,GBIF,Accepted,gonochorous,,,,,60,,,Maeki and Ae 1966a,,,,,,
Papilionidae,Byasa,polyeuctes,letincius,Byasa polyeuctes letincius,,,,GBIF,Accepted,gonochorous,,,,,60,,,Maeki and Ae 1966a,,,,,,
Papilionidae,Byasa,polyeuctes,,Byasa polyeuctes,Byasa,polyeuctes,termessus,GBIF,Synonym,gonochorous,,,,,60,,,"Maeki, K., Ogata, M. and Shirozu, T., 1965. A study of the chromosomes in twenty-five speceis of Formosan Rhopalocera. Special Bulletines of the Lepidoptera Society Japan, (1), pp.1-10.",,,,,,
Papilionidae,Chilasa,clytia,,Chilasa clytia,,,,GBIF,Accepted,gonochorous,,,,,60,,,Maeki and Ae 1966a,,,,,,
Papilionidae,Cressid,cressid,,Cressid cressid,,,,,,,,,,,60,,,"Maeki, K. & Ogata, M. (1971). A chromosomal study of eighteen species of butterflies from Australia (Lepidoptera, Rhopalocera). Kontyu 39: 7–14.",,,,,,
Papilionidae,Graphium,doson,,Graphium doson,,,,GBIF,Accepted,,,,,,60,,,"Maeki, K., 1957. A use of chromosome numbers in the study of taxonomy of the lepidoptera and notes on the internal reproductive anatomy (With 6 Text-figures).†??????????,†13(1-4), pp.259-262.",,,,,,
Papilionidae,Graphium,feisthameli,,Graphium feisthameli,,,,,,gonochorous,,,,,60,,,"Lorkovi?, Z., 1941. Die chromosomenzahlen in der spermatogenese der tagfalter. Zeitschrift für Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma, 2(1), pp.155-191.",,,,,,
Papilionidae,Graphium,phaon,,Graphium phaon,,,,,,gonochorous,,,,,60,,,"Maeki, K., Ogata, M. and Shirozu, T., 1965. A study of the chromosomes in twenty-five speceis of Formosan Rhopalocera. Special Bulletines of the Lepidoptera Society Japan, (1), pp.1-10.",,,,,,
Papilionidae,Graphium,podalirius,,Graphium podalirius,,,,,,gonochorous,,,,,,54-58,,"Kernewitz, B., 1915. Spermiogenese bei Lepidopteren mit besonderer Berücksichtigung der Chromosomen. Brandstätter.",,,,,,
Papilionidae,Graphium,podalirius,,Graphium podalirius,,,,,,gonochorous,,,,,60,,,"Regnart, H.C., 1933. Additions to our knowledge of chromosome numbers in the Lepidoptera. In Proc. Univ. Durham Phil. Soc (Vol. 9, pp. 79-83).",,,,,,
Papilionidae,Graphium,protodamas,,Graphium protodamas,,,,,,,,,,,60,,,"Lesse, H.D. and Brown, K., 1971. Formules chromosomiques de Lépidoptères Rhopalocères du Brésil. Bulletin de la Société entomologique de France, 76(5), pp.131-137.",,,,,,
Papilionidae,Graphium,sarpedon,,Graphium sarpedon,,,,GBIF,Accepted,gonochorous,,,,,40,,,Maeki 1957b,,,,,,
Papilionidae,Iphiclides,podalirius,,Iphiclides podalirius,Papilio,podalirius,,GBIF,Synonym,,,,,,,54-58,,"Kernewitz, B., 1915. Spermiogenese bei Lepidopteren mit besonderer Berücksichtigung der Chromosomen. Brandstätter.",,,,,,
Papilionidae,Luedorfia,japonica,,Luedorfia japonica,,,,GBIF,Accepted,gonochorous,,,,,62,,,Maeki 1957b,,,,,,
Papilionidae,Luedorfia,puziloi,,Luedorfia puziloi,,,,GBIF,Accepted,gonochorous,,,,,60,,,Maeki 1957b,,,,,,
Papilionidae,Luehdorfia,japonica,,Luehdorfia japonica,,,,GBIF,Accepted,,,,,,62,,,"Maeki, K., 1957. A use of chromosome numbers in the study of taxonomy of the lepidoptera and notes on the internal reproductive anatomy (With 6 Text-figures).†??????????,†13(1-4), pp.259-262.",,,,,,
Papilionidae,Luehdorfia,puziloi,,Luehdorfia puziloi,,,,GBIF,Accepted,,,,,,60,,,"Maeki, K., 1957. A use of chromosome numbers in the study of taxonomy of the lepidoptera and notes on the internal reproductive anatomy (With 6 Text-figures).†??????????,†13(1-4), pp.259-262.",,,,,,
Papilionidae,Meandrusa,payeni,,Meandrusa payeni,Papilio,brucei,(?),GBIF,Synonym,gonochorous,,,,,60,,,Maeki and Ramington 1959,,,,,,
Papilionidae,Menelaides,aristolochiae,,Menelaides aristolochiae,,,,,,,,,,,58,,,"Maeki, K. & Ae, S.A. (1968). A chromosomal study of seventeen species of butterflies from Hong Kong (Lepidopetera, Rhopalocera). Kontyu 36: 65–74.",,,,,,
Papilionidae,Oeneis,polixenes,,Oeneis polixenes,Papilio,polyxenes,,GBIF,Synonym,gonochorous,,,,,60,,,Maeki and Ramington 1959,,,,,,
Papilionidae,Papilio,alexanor,,Papilio alexanor,,,,GBIF,Accepted,gonochorous,,,,,60,,,"Lorkovi?, Z., 1941. Die chromosomenzahlen in der spermatogenese der tagfalter. Zeitschrift für Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma, 2(1), pp.155-191.",,,,,,
Papilionidae,Papilio,bianor,,Papilio bianor,Papilio,polyctor,,GBIF,Synonym,gonochorous,,,,,60,,,Maeki and Ae 1966a,,,,,,
Papilionidae,Papilio,bianor,,Papilio bianor,,,,GBIF,Accepted,,,,,,60,,,"Maeki, K. and Makino, S., 1953. Chromosome numbers of some Japanese Rhopalocera.Lepid. news,7, pp.36-38.",,,,,,
Papilionidae,Papilio,bianos,takasago,Papilio bianos takasago,,,,GBIF,Accepted,,,,,,60,,,"Maeki, K. & Ae, S.A. (1968). Studies of the chromosomes of Formosan Rhopalocera 1. Papilionidae and Hesperiidae. Kontyu 36: 116–123.",,,,,,
Papilionidae,Papilio,castor,formosanus,Papilio castor formosanus,,,,GBIF,Accepted,,,,,,62,,,"Maeki, K. & Ae, S.A. (1968). Studies of the chromosomes of Formosan Rhopalocera 1. Papilionidae and Hesperiidae. Kontyu 36: 116–123.",,,,,,
Papilionidae,Papilio,cresphontes,,Papilio cresphontes,,,,GBIF,Accepted,gonochorous,,,,,60,,,Maeki and Ramington 1959,,,,,,
Papilionidae,Papilio,dardanus,,Papilio dardanus,,,,GBIF,Accepted,gonochorous,,,,,60,,,Lasse and Condamin 1965,,,,,,
Papilionidae,Papilio,demoleus,,Papilio demoleus,,,,GBIF,Accepted,gonochorous,,,,,60,,,Srivastava and Gupta 1961,,,,,,
Papilionidae,Papilio,feisthameli,,Papilio feisthameli,,,,GBIF,Accepted,,,,,,60,,,"Lorkovi?, Z., 1941. Die chromosomenzahlen in der spermatogenese der tagfalter. Zeitschrift für Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma, 2(1), pp.155-191.",,,,,,
Papilionidae,Papilio,helenus,,Papilio helenus,,,,GBIF,Accepted,gonochorous,,,,,60,,,"Maeki, K., 1953. A chromosome study of Japanese butterflies (Lepidoptera Rhopalocera). A. Studies Kwansei Gakuin Univ., 1, pp.67-70.",,,,,,
